4
[MAP]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
1600	96	2	3	1	2	0	1	2	0	7	3	1	4	11	11	6	0	1	0	1	5	13	4	11	12	8	9	39	9	35	16	45	
1800	90	0	1	1	0	0	0	0	0	5	0	2	2	11	6	2	0	1	0	1	2	3	4	8	10	4	1	39	10	29	18	42	
[JMJ]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
200	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	
400	8	2	1	1	2	0	0	0	2	3	1	2	1	5	5	2	2	0	3	1	5	2	5	5	3	5	4	7	6	4	4	6	
600	29	7	5	10	8	3	1	0	4	9	6	8	9	13	12	7	5	3	3	4	6	5	14	11	11	11	11	21	15	19	12	18	
800	49	5	3	4	6	4	3	2	3	9	5	7	7	12	11	5	4	4	2	2	10	7	8	8	8	12	12	29	18	22	18	24	
1000	62	7	4	6	8	2	4	5	3	9	5	4	5	10	11	5	4	3	2	4	7	9	14	17	14	12	13	37	20	25	20	30	
1200	93	0	0	2	2	0	1	0	0	6	0	2	4	14	12	3	0	0	0	0	3	9	7	8	9	12	12	36	24	37	25	30	
1400	115	2	3	4	6	3	3	2	3	6	3	3	4	17	18	4	2	3	0	3	3	7	12	18	20	18	9	48	16	41	32	52	
1600	96	0	0	1	1	0	0	0	0	5	0	1	1	11	6	5	0	0	0	0	1	6	3	13	11	4	5	43	9	34	20	37	
1800	90	0	1	1	0	1	0	0	0	3	1	1	2	8	3	0	0	0	0	0	1	2	2	2	5	6	1	39	10	32	21	35	
[JMJM]
N	K	Î	Å	À	È	Í	Ò	Ñ	Ð	Â	Ë	Ï	Ê	Ì	Ä	É	Û	Ü	Ó	ß	Þ	Ý	Ç	Ã	Á	×	Õ	Ø	Æ	Ö	Ù	Ô	
200	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	
400	8	2	1	1	2	0	0	0	2	1	2	2	2	2	4	1	2	0	3	1	4	1	6	5	3	6	5	6	7	4	4	6	
600	29	7	6	10	9	5	1	0	4	9	5	6	8	10	13	9	4	4	2	2	9	7	13	8	12	10	12	20	15	18	9	19	
800	49	5	3	3	4	3	3	2	2	8	5	6	7	9	12	5	5	5	3	5	5	9	10	9	8	11	13	29	16	16	13	24	
1000	62	6	2	7	8	2	4	4	2	7	4	3	3	10	14	7	3	2	3	3	6	10	12	16	18	12	11	36	22	28	20	33	
1200	93	0	0	1	1	0	0	0	0	3	0	2	1	15	14	3	0	0	1	2	4	7	6	11	10	9	10	29	22	35	24	35	
1400	115	2	3	4	6	3	3	2	3	6	3	5	5	11	14	6	3	2	3	6	4	9	15	17	17	20	14	42	19	37	26	51	
1600	96	0	0	1	1	0	0	0	0	6	0	2	3	9	8	7	0	0	0	0	4	11	4	10	12	5	8	36	6	33	15	43	
1800	90	0	1	1	0	0	0	0	0	5	0	2	2	11	6	2	0	1	0	1	2	3	4	8	10	4	1	39	10	29	18	42	
